pH;Turbidez;CRL;Coliformes;Ecoli;Precipitação;Norte;Nordeste;Centro-Oeste;Sudeste;Sul;Latitude;Longitude;Manancial
9.08;0.14;1.2;0;0;0.219888214;0;0;0;1;0;-22.0082;-51.5565;3
5;9.31;1.56;0;0;0.443238462;0;0;0;1;0;-24.699;-47.5537;1
7;17.5;1.5;0;0;0.790134327;0;1;0;0;0;-8.81175;-36.0137;1
5;2;2.7;0;0;0.926710743;0;0;0;0;1;-32.05758;-52.15322;1
7.1;0.5;1.67;0;0;0.465478399;0;0;0;0;1;-26.62;-53.6716;1
6.77;0.34;2;0;0;0.660755863;0;1;0;0;0;-8.13436;-41.1431;2
7;;;0;0;0.846340019;0;1;0;0;0;-8.01234;-43.8755;3
6.68;0.331;2;0;0;0.084338358;0;1;0;0;0;-12.9822709;-38.4778317;1
7;0.001;0.82;0;0;0.486394061;0;0;0;0;1;-27.0996;-51.2473;3
6.2;0.02;2.36;0;0;1;0;1;0;0;0;-12.8937082;-38.440751;1
6.8;0.1;0.4;0;0;0.625229039;0;0;0;1;0;-22.8988;-49.6354;3
7.59;1.69;0.38;0;0;0.15061334;0;0;1;0;0;-15.452;-47.6089;1
0;8;0.05;;;0.931844315;1;0;0;0;0;-9.06596;-68.6571;1
0;26;0.06;;;0.784837842;1;0;0;0;0;-9.06596;-68.6571;1
4.74;2.66;1.66;0;0;0.54439553;0;1;0;0;0;-8.81175;-36.0137;1
6.93;0.28;;0;0;0.005221891;0;1;0;0;0;-12.1144;-43.8958;1
6.12;0.6;0.01;0;0;0.840289932;0;0;1;0;0;-15.4993;-49.6861;1
6.8;0.56;0.5;;;0.478300894;0;0;0;1;0;-18.2195;-42.4946;3
6.84;0;2.01;0;0;0.852293088;0;1;0;0;0;-12.1144;-43.8958;1
7.11;2.65;0.45;0;0;0.005083165;0;0;1;0;0;-17.3019;-48.2768;1
7.2;0.1;1;0;0;0.815160577;0;0;0;1;0;-18.4738;-42.3067;1
6.89;3;0.1;0;0;0.399319907;0;0;0;1;0;-18.2195;-42.4946;3
0;4;0;;;0.784837842;1;0;0;0;0;-9.06596;-68.6571;1
6;1.71;1.2;0;0;0.28750277;0;0;0;1;0;-23.7067;-46.4058;1
6.5;2;0.2;0;0;0.788843883;0;1;0;0;0;-10.5965;-37.1131;1
