Nitrato;pH;Turbidez;CRL;Coliformes;Ecoli
1.3;;;;;
0.5;;;;;
0.9;;;;;
1.2;;;;;
0.8;;;;;
0.5;;;;;
1.1;;;;;
1.1;;;;;
0.8;;;;;
0.8;;;;;
1.4;;;;;
0.9;;;;;
1.5;;;;;
1.4;;;;;
0.6;;;;;
1.8;;;;;
0.481;;;;;
0.493;;;;;
0.398;;;;;
0.751;;;;;
0.144;;;;;
0.594;;;;;
0.023;;;;;
0;;;;;
0.5;;;;;
0.422;;;;;
0.141;;;;;
0.098;;;;;
0.8;4.35;0.75;0.54;0;0
0.7;4.81;0.76;0.05;0;0
0.103;;;;;
0.238;;;;;
0.333;;;;;
0.616;;;;;
0.018;;0.87;;1;1
0.07;;;;;
0.01;;;;;
0.014;;;;;
0.324;;;;;
;;;;;
0.439;;;;;
0.043;;;;;
0.813;;;;;
0.019;;;;;
0.239;;;;;
0.1;;;;;
5.4;;;;;
5.4;;;;;
3.5;;;;;
9.6;;;;;
4.3;;;;;
3.6;;;;;
0.3;;;;;
0.7;;;;;
2;;;;;
5;;;;;
5.7;;;;;
4.2;;;;;
6.1;;;;;
4.7;;;;;
5.5;;;;;
6.6;;;;;
0.31;;;;;
0.393;;;;;
4.7;;;;;
0.002;;;;;
6.1;;;;;
8.1;;;;;
10;;;;;
4.3;;;;;
9.5;;;;;
9.4;;;;;
9.7;;;;;
5.5;;;;;
10.9;;;;;
6.3;;;;;
6.3;;;;;
2.7;;;;;
0.4;;;;;
0.7;;;;;
0.2;;;;;
1.8;;;;;
2.5;;;;;
0.8;;;;;
0;;;;;
5.5;;;;;
11.4;;;;;
3.9;;;;;
3.7;;;;;
7;;;;;
4.8;;;;;
2.1;;;;;
0.298;;;;;
0.168;;;;;
7.5;;;;;
14.5;;;;;
8;;;;;
4.9;;;;;
5.7;;;;;
11.5;;;;;
0.7;;;;;
2.1;;;;;
2.5;;;;;
8.2;;;;;
7;;;;;
6.1;;;;;
1.8;;;;;
6.9;;;;;
3.2;;;;;
2.2;;;;;
0.1;;;;;
0.247;;;;;
9.3;;;;;
0.9;;;;;
1.4;;;;;
5.2;;;;;
0.5;;;;;
2.1;;;;;
5.3;;;;;
0.7;;;;;
1.3;;;;;
1.7;;;;;
1.1;;;;;
12;;;;;
8.5;;;;;
4.3;;;;;
4;;;;;
6.7;;;;;
6.3;;;;;
0.5;;;;;
6.2;;;;;
0;;;;;
2.7;;;;;
0;;;;;
2;;;;;
0.481;;;;;
0.115;;;;;
0;;;;;
4.6;;;;;
7.9;;;;;
4.4;;;;;
9.5;;;;;
3.9;;;;;
7.9;;;;;
0.094;;;;;
0.029;;;;;
4.9;;;;;
1.6;;;;;
0.2;;;;;
0.1;;;;;
0.6;;;;;
1.6;;;;;
0.4;;;;;
1.2;;;;;
0.553;;;;;
4.6;;;;;
5.6;;;;;
5.4;;;;;
8.6;;;;;
4.8;;;;;
3.3;;;;;
4.4;;;;;
7.9;;;;;
3.5;;;;;
3.1;;;;;
4;;;;;
0.007;;;;;
0.371;;;;;
7.6;;;;;
5.6;;;;;
0.076;;;;;
0.255;;;;;
0.403;;;;;
0.318;;;;;
0.389;;;;;
0.26;;;;;
0.351;;;;;
0.353;;;;;
0.073;;;;;
0.122;;;;;
0.181;;;;;
0.077;;;;;
0.13;;;;;
4.4;;;;;
4.3;;;;;
5.6;;;;;
4;;;;;
3.3;;;;;
6.8;;;;;
5.5;;;;;
5.2;;;;;
5.2;;;;;
0.404;;;;;
0.8;;;;;
2.1;;;;;
0.47;;;;;
0.21;;;;;
0.031;;;;;
7.5;;;;;
11.5;;;;;
5.9;;;;;
5.4;;;;;
7.1;;;;;
9.9;;;;;
2.3;;;;;
0.356;;;;;
5.6;;;;;
4.3;;;;;
0.6;;;;;
7.4;;;;;
1.6;;;;;
1.1;;;;;
0.676;;;;;
2.5;;;;;
1.1;;;;;
7.8;;;;;
6.4;;;;;
10.7;;;;;
0.1;;;;;
0;;;;;
10;;;;;
1.4;;;;;
0.125;;;;;
4.9;;;;;
4.5;;;;;
4.3;;;;;
3.7;;;;;
4.8;;;;;
6.2;;;;;
0.116;;;;;
5.6;;;;;
4.1;;;;;
0.008;;;;;
10;;;;;
0.5;;;;;
1.5;;;;;
9.1;;;;;
3.1;;;;;
3.7;;;;;
8.9;;;;;
5.1;;;;;
4.6;;;;;
0.6;;;;;
5.8;;;;;
;;;;;
4.8;;;;;
6.5;;;;;
4.6;;;;;
6.2;;;;;
5.7;;;;;
1.7;;;;;
8.9;;;;;
12.3;;;;;
0.357;;;;;
1.5;;;;;
2;;;;;
1.9;;;;;
9.7;;;;;
4.9;;;;;
12.3;;;;;
5.5;;;;;
10;;;;;
0.6;;;;;
0.5;;;;;
0.1;;;;;
1.1;;;;;
5.7;;;;;
1.3;;;;;
2;;;;;
7.5;;;;;
7.2;;;;;
3.6;;;;;
5.6;;;;;
6.8;;;;;
3.9;;;;;
5.9;;;;;
7.8;;;;;
8.3;;;;;
3.6;;;;;
0;;;;;
8.5;;;;;
10;;;;;
5.2;;;;;
0.2;;;;;
0.1;;;;;
0.1;;;;;
9.3;;;;;
8.7;;;;;
7.5;;;;;
7;;;;;
3.4;;;;;
1.3;;;;;
8.5;;;;;
0.5;;;;;
0;;;;;
7.2;;;;;
2.7;;;;;
7.1;;;;;
0;;;;;
0.05;;;;;
3.3;;;;;
6.8;;;;;
13.1;;;;;
5.3;;;;;
0.6;;;;;
0.5;;;;;
6.9;;;;;
4.5;;;;;
4.6;;;;;
4.6;;;;;
0.9;;;;;
8.9;;;;;
8.3;;;;;
0.7;;;;;
0.7;;;;;
1;;;;;
0.7;;;;;
8.9;;;;;
5.2;;;;;
9.4;;;;;
0;;;;;
0.7;;;;;
3.7;;;;;
3.9;;;;;
1.1;;;;;
0.5;;;;;
0.3;;;;;
3.2;;;;;
3.1;;;;;
3.6;;;;;
0.4;;;;;
2;;;;;
0.5;;;;;
0.5;;;;;
0.6;;;;;
0.01;;;;;
0.5;;;;;
0;;;;;
0.2;;;;;
0;;;;;
3;;;;;
3.5;;;;;
0.6;;;;;
0.5;;;;;
0;;;;;
2.7;;;;;
2.5;;;;;
0;;;;;
3.2;;;;;
4.6;;;;;
0;;;;;
0.3;;;;;
0.4;;;;;
0.7;;;;;
0;;;;;
0;;;;;
0;;;;;
2.8;;;;;
2.8;;;;;
1;;;;;
0.4;;;;;
0.5;;;;;
0;;;;;
0;;;;;
0;;;;;
2.3;;;;;
0.7;;;;;
1.5;;;;;
2;;;;;
0.003;;;;;
0.4;;;;;
0.4;;;;;
0;;;;;
0.3;;;;;
0.7;;;;;
0.5;;;;;
0;;;;;
1;;;;;
13.4;;;;;
7.3;;;;;
12.1;;;;;
9.5;;;;;
6.6;;;;;
6.4;;;;;
1;;;;;
2.4;;;;;
1.7;;;;;
1.8;;;;;
1.4;;;;;
0.6;;;;;
1.3;;;;;
0;;;;;
0.5;;;;;
1.3;;;;;
1;;;;;
0.03;;;;;
1;;;;;
0;;;;;
1.1;;;;;
1.1;;;;;
1.4;6.7;0.26;0.72;0;0
3.5;;;;;
