pH;Turbidez;CRL;Coliformes;Ecoli;Precipitação;Latitude;Longitude;Manancial;Lat_Norm;Long_Norm
0.708;0.0035;0.12;0;0;0.219888214;-22.0082;-51.5565;3;0.300924429;0.496955108
0.3;0.23275;0.156;0;0;0.443238462;-24.699;-47.5537;1;0.231970258;0.58562482
0.54;0.025;0.05;0;0;0.441163785;-22.0572;-46.9735;1;0.29966876;0.598477365
0.283;0.2725;0.443;0;0;0.865738112;-5.79357;-35.1986;3;0.716438912;0.85931403
0.54;0.007;0.081;0;0;0.622222222;-26.6453;-52.7946;1;0.182094569;0.469528813
0.49;0.0625;0.086;0;0;0.193005919;-27.0287;-51.9012;3;0.172269599;0.48931934
0.62;0.00225;0.2;0;0;0.040813999;-7.79342;-37.7946;2;0.665190957;0.801807641
0.403;0.015;0.2;0;0;0.032967301;-13.4945;-60.552;1;0.519095652;0.297687494
0.62;0.00375;0.05;0;0;0.46192144;-22.7338;-47.6476;3;0.282330276;0.583544755
0.5;0.4375;0.15;0;0;0.790134327;-8.81175;-36.0137;1;0.639095334;0.841257999
0.3;0.05;0.27;0;0;0.926710743;-32.05758;-52.15322;1;0.043400024;0.483736613
0.51;0.0125;0.167;;;0.293007404;-19.1573;-42.2333;1;0.373981306;0.703481906
0.45;0.008;0.052;0;0;0.465478399;-26.62;-53.6716;1;0.182742904;0.450101578
0.47;0.0235;0.271;0;0;0.749065813;-27.0772;-52.1289;3;0.171026743;0.484275348
0.477;0.0085;0.2;0;0;0;-22.3044;-45.3773;1;0.293334037;0.633836263
0.468;0.008275;0.2;0;0;0.532574871;-26.9985;-51.5528;1;0.173043501;0.49703707
0.58;0.00425;0.5;0;0;0.660755863;-8.13436;-41.1431;2;0.656454062;0.727631931
0.5;0.000025;0.082;0;0;0.846340019;-8.01234;-43.8755;3;0.659580935;0.667104019
0.45;0.0025;0.16;0;0;0.084338358;-12.9822709;-38.4778317;1;0.532221983;0.786672746
0.42;0.0005;0.236;0;0;0.736442928;-7.94704;-35.3801;2;0.661254306;0.855293456
0.48;0.0025;0.04;0;0;0.486394061;-27.0996;-51.2473;3;0.170452723;0.503804482
0.559;0.04225;0.038;0;0;0.983682356;-23.4779;-54.187;3;0.263262044;0.438684477
0.56;0.0045;0.25;0;0;1;-12.8937082;-38.440751;1;0.534491482;0.787494155
0.48;0.0345;0.2;0;0;0.625229039;-22.8988;-49.6354;3;0.278102002;0.539511165
0.499;0.025;0.005;0;0;0.15061334;-15.452;-47.6089;1;0.468932953;0.584402034
0.57;0.0185;0;0;0;0.473828514;-6.02751;-38.3461;3;0.710443989;0.789590856
0.56;0.0075;0.14;0;0;0.813835708;-21.4647;-47.0024;3;0.314852105;0.597837175
0.274;0.0665;0.166;0;0;0.617683701;-3.45125;-44.8643;1;0.77646297;0.645200199
0.412;0.015;0.001;0;0;0.961542454;-19.1573;-42.2333;1;0.373981306;0.703481906
0.48;0.014;0.05;;;0.931844315;-9.06596;-68.6571;1;0.632580974;0.118143952
0.484;0;0.201;;;0.784837842;-9.06596;-68.6571;1;0.632580974;0.118143952
